Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
261;1771129135868,345426;0,0532232411205769;0,21496693789959;3,65458083152771
262;1771129135932,356826;0,0536608546972275;0,21650867164135;3,65661668777466
263;1771129135993,033226;0,0540809668600559;0,217389509081841;3,68582320213318
264;1771129136059,377326;0,0544944852590561;0,217863395810127;3,6970546245575
265;1771129136118,509526;0,0549113862216473;0,218026369810104;3,69203209877014
266;1771129136179,967326;0,0553418211638927;0,21871155500412;3,67012548446655
267;1771129136244,385526;0,0557825118303299;0,219929724931717;3,65375185012817
268;1771129136305,733926;0,0562018379569054;0,220601662993431;3,68921732902527
269;1771129136368,935826;0,0566194877028465;0,221756860613823;3,69240546226501
270;1771129136435,405626;0,0570348650217056;0,22248612344265;3,69657969474792
271;1771129136509,853026;0,0574087053537369;0,22248612344265;3,76539468765259
272;1771129136573,914326;0,0577451586723328;0,22248612344265;3,8275158405304
273;1771129136639,076226;0,0580479688942432;0,22248612344265;3,88371014595032
274;1771129136700,801426;0,0583422221243382;0,222722604870796;3,89865398406982
275;1771129136765,905326;0,0586070530116558;0,222722604870796;3,94805765151978
276;1771129136829,525326;0,0588454008102417;0,222722604870796;3,99267816543579
277;1771129136887,842826;0,0590599104762077;0,222722604870796;4,03309297561646
278;1771129136980,480626;0,059376809746027;0,224924355745316;3,86587929725647
279;1771129137015,732126;0,0596838518977165;0,225434869527817;3,88301730155945
280;1771129137085,046826;0,0600117146968842;0,226540729403496;3,8495888710022
281;1771129137145,538826;0,0603394955396652;0,226947501301765;3,85059571266174
282;1771129137201,324326;0,0606707818806171;0,227356061339378;3,84561991691589
283;1771129137263,306926;0,0610081553459167;0,22799363732338;3,83641147613525
284;1771129137327,403426;0,0613628104329109;0,229131534695625;3,80873823165894
285;1771129137394,208926;0,0617355667054653;0,230670526623726;3,77962017059326
286;1771129137451,056626;0,0621120110154152;0,231383636593819;3,77416133880615
287;1771129137512,018526;0,0624967887997627;0,231678292155266;3,76113367080688
288;1771129137578,235726;0,0628934502601624;0,232041642069817;3,74208831787109
289;1771129137638,029126;0,0632761344313622;0,232460111379623;3,76565647125244
290;1771129137714,475026;0,0636921375989914;0,234674349427223;3,71131038665771
291;1771129137764,643926;0,0640875697135925;0,235348761081696;3,74568247795105
292;1771129137824,674326;0,0644843205809593;0,236190840601921;3,74404716491699
293;1771129137887,506426;0,0648842602968216;0,236617878079414;3,73926687240601
294;1771129138094,166926;0,0653948187828064;0,238905981183052;3,55773878097534
295;1771129138178,325626;0,0658946633338928;0,240380451083183;3,57543540000916
296;1771129138283,676726;0,0664088204503059;0,241190865635872;3,55198335647583
297;1771129138373,041226;0,0669428631663322;0,2420943826437;3,51925182342529
298;1771129138575,717826;0,0675447508692741;0,245428547263145;3,40758323669434
299;1771129138745,210426;0,0682040676474571;0,247710019350052;3,31279563903809
300;1771129138874,922226;0,0688238069415092;0,247772321105003;3,37724280357361
301;1771129138971,616326;0,0694657638669014;0,249330118298531;3,34034156799316
302;1771129139035,026526;0,0700863599777222;0,25082391500473;3,37494325637817
303;1771129139049,289526;0,0706767365336418;0,251630008220673;3,42424559593201
304;1771129139127,420226;0,0712496191263199;0,252191364765167;3,45278120040894
305;1771129139207,906626;0,0718144923448563;0,25273272395134;3,46569538116455
306;1771129139250,920226;0,0723738446831703;0,253097146749496;3,47452211380005
307;1771129139304,934026;0,0729013010859489;0,253360837697983;3,52691602706909
308;1771129139362,779926;0,0734193623065948;0,254428774118423;3,5423686504364
309;1771129139425,089826;0,0739272385835648;0,255491226911545;3,55903482437134
310;1771129139485,075626;0,0744305327534676;0,255869597196579;3,56662178039551
311;1771129139548,260826;0,0749359354376793;0,256351083517075;3,56324100494385
312;1771129139611,055626;0,0754372775554657;0,257427513599396;3,56985473632813
313;1771129139673,244226;0,0759128332138062;0,257959127426147;3,61247801780701
314;1771129139734,518826;0,0763899087905884;0,258884519338608;3,61009168624878
315;1771129139796,475926;0,0768574625253677;0,259836465120316;3,62594056129456
