Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
346;1771959601100,933043;5;0,121042631566525;0,408930093050003
347;1771959601163,836843;5;0,121660448610783;0,410103559494019
348;1771959601227,089143;5;0,122276529669762;0,41127535700798
349;1771959601289,005243;5;0,122737728059292;0,412152856588364
350;1771959601351,714143;5;0,123351983726025;0,413321405649185
351;1771959601413,775943;5;0,123963892459869;0,414488047361374
352;1771959601477,592943;5;0,124581798911095;0,41565278172493
353;1771959601539,895443;5;0,12520207464695;0,416816294193268
354;1771959601601,518143;5;0,125820711255074;0,41797724366188
355;1771959601663,835443;5;0,126434952020645;0,419136315584183
356;1771959601726,471643;5;0,126743778586388;0,419715225696564
357;1771959601788,915843;5;0,127364739775658;0,420871824026108
358;1771959601851,708643;5;0,127978608012199;0,422026842832565
359;1771959601917,395643;5;0,12859645485878;0,423179864883423
360;1771959601977,180343;5;0,129220217466354;0,424331158399582
361;1771959602039,327743;5;0,129838317632675;0,425480455160141
362;1771959602102,586043;5;0,130454942584038;0,426628082990646
363;1771959602164,646243;5;0,131078481674194;0,427774041891098
364;1771959602227,347543;5;0,131695508956909;0,428918093442917
365;1771959602289,702243;5;0,132003039121628;0,429489552974701
366;1771959602352,224443;5;0,132628813385963;0,430631220340729
367;1771959602414,340043;5;0,133251428604126;0,431771010160446
368;1771959602477,438843;5;0,133867889642715;0,432908862829208
369;1771959602540,095343;5;0,13448828458786;0,434045165777206
370;1771959602602,726643;5;0,135108128190041;0,435179710388184
371;1771959602665,241643;5;0,135734230279922;0,436312526464462
372;1771959602728,143243;5;0,136359140276909;0,437443822622299
373;1771959602790,464843;5;0,136670991778374;0,438008725643158
374;1771959602853,695843;5;0,137291371822357;0,43913722038269
375;1771959602915,616243;5;0,137911811470985;0,440264016389847
376;1771959602977,980143;5;0,138540506362915;0,441389054059982
377;1771959603040,667843;5;0,139163240790367;0,442512512207031
378;1771959603103,171943;5;0,139785155653954;0,443634122610092
379;1771959603165,231943;5;0,140408724546432;0,44475394487381
380;1771959603227,904043;5;0,141033187508583;0,445872247219086
381;1771959603290,615643;5;0,141346082091331;0,446430772542953
382;1771959603352,953043;5;0,141973108053207;0,447546571493149
383;1771959603415,217843;5;0,142600327730179;0,448660671710968
384;1771959603478,144843;5;0,143221110105515;0,449772983789444
385;1771959603541,432943;5;0,143845766782761;0,450883716344833
386;1771959603603,198143;5;0,144160106778145;0,451438456773758
387;1771959603665,646743;5;0,144942238926888;0,452823460102081
388;1771959603728,878343;5;0,145410820841789;0,453653305768967
389;1771959603791,357943;5;0,146038860082626;0,454758256673813
390;1771959603854,295643;5;0,146667689085007;0,455861508846283
391;1771959603916,115143;5;0,147449091076851;0,457238256931305
392;1771959603979,367343;5;0,147920250892639;0,458063095808029
393;1771959604042,228143;5;0,14854633808136;0,459161430597305
394;1771959604105,339643;5;0,149173647165298;0,460258156061172
395;1771959604166,492143;5;0,149489656090736;0,460805952548981
396;1771959604229,787243;5;0,150119438767433;0,461900234222412
397;1771959604291,575643;5;0,15074560046196;0,462992876768112
398;1771959604354,328243;5;0,15137554705143;0,464083880186081
399;1771959604417,396043;5;0,152003437280655;0,465173304080963
